b	/bi:; bi/	abbr.|指铅笔心）黑色色重的（因质软之故）|
ba	/9bi: 5eI; 9bi e/	abbr.|学士|
baa	/bB:; bB/	n.|咩（羊叫声）|
baae		|Bachelor of Aeronautical and Astronautical Engineering 航空与航天工程学士|
baal		n.|巴力(古代迦南人信奉的司生生化育之神)|
baas		n.|老板|
bab		n.|巴巴拉的昵称|
baba		n.|兰姆糕 <印>孩子|
babe	/beIb; beb/	n.|婴儿|
babel	/5beIbl; bebl/	n.|人声嘈杂、乱糟糟的场面|
babi		n.|(=Babism)泛神教义|
babka		n.|巴布卡蛋糕(一种喝咖啡时吃的波兰海绵蛋糕)|
baboo		n.|先生|
babs		n.|芭布斯(Barbara,Babette的昵称)(f.)|
babu		n.|<印> 相当于Mr或Sir的称谓|
babul		n.|假阿拉伯胶树(产于非洲北部及印度)|
baby	/5beIbI; bebI/	n.|婴儿；幼小的动物|
bac		n.|用绳子拖的平底渡船|
bacat		n.|载驳双体船|
bacca		n.|浆果|
bacco		n.|'=baccy|
baccy	/5bAkI; bAkI/	n.|烟草|
bach		n.|bachelor 之略语|
bachelor		n.|学士|
back	/bAk; bAk/	n.|背部；adv.|向后|
back and forth		adv.|来回|
back to square one		adv.|回到原点|
back up		v.|支持；备份|
backbone		n.|骨干|
background		n.|背景|
backward		adv.|向后|
bacon	/5beIkEn; bekEn/	n.|腌猪肉；熏猪肉（猪的背部或肋部的肉）|
bacteria		n.|细菌|
bad	/bAd; bAd/	adj.|坏的；劣质的；不合格的；有错的|
bad blood		n.|仇恨|
baddy		n.|电影、小说等中的）反面人物；坏人|
bade		vbl.|bid的过去式|
badge	/bAdV; bAdV/	n.|徽章|
badly		adv.|不好；以不适当的或不能令人满意的方式|
badly off		adj.|贫困的|
badminton		n.|羽毛球|
bae		|bachelor of aeronautical engineering,航空工程学士|
baed		|bachelor of arts in education,教育学士|
baee		|bachelor of elementary education,初级教育学士|
baff		vi.|以球杆打球下部使之高飞|
baffy		n.|木制短高尔夫球棒|
bafta	/5bAftE; bAftE/	abbr.|英国影视艺术学会|
bag	/bAg; bA^/	n.|袋；包；提包|
bagel	/5beIgl; be^El/	n.|一种圈状硬面包|
baggy	/5bAgI; bA^I/	adj.|宽松地下垂的|
bags	/bAgz; bA^z/	n.|裤子|
bah	/bB:; bB/	|表示厌恶或轻蔑|
bahai		n.|巴哈教徒|
baht		n.|铢|
baiao		n.|巴西的一种舞蹈|
bail	/beIl; bel/	n.|保释金|
bairn	/beEn; bZrn/	n.|苏格兰；小孩儿|
bait	/beIt; bet/	n.|鱼饵；诱饵|
baiza		n.|派沙(阿曼辅币名)|
baize	/beIz; bez/	n.|台面呢（一种厚毛呢；通常为绿色；用作台球台、牌桌、门等的衬垫）|
bajan		n.|&|
bajra		n.|[植](印度的)御谷|
bajri		n.|[植](印度的)御谷|
bak		n.|[计] 备份文件的扩展名|
bake	/beIk; bek/	v.|使某物放在烤箱烘烤|
baker		n.|烘制并出售面包等的人；面包师傅|
bakery		n.|面包店|
baku		|巴库[阿塞拜疆共和国首都]|
balance		n.|平衡|
balas		n.|红玉|
balcony		n.|阳台|
bald	/bR:ld; bRld/	adj.|指人）秃头的；无发或少发的；缺少应有的覆盖物的|
bale	/beIl; bel/	n.|大包；大捆|
bali		n.|巴厘岛|
balk	/bR:k; bRk/	n.|粗加工的）大方木料|
balkh		n.|大夏(今巴尔克)|
balky		adj.|停止不前的|
ball	/bR:l; bRl/	n.|各种游戏所用的实心或空心的）球|
balloon		n.|气球|
bally	/5bAlI; bAlI/	adj.|旧；俚；非常；极端|
balm	/bB:m; bBm/	n.|从某些树中提取的可止痛或疗伤的）芳香油；香脂|
balmy		adj.|指空气）温暖的；暖和的|
balpa		|British Airline Pilots' Association 英国民航驾驶员协会|
balsa	/5bR:lsE; bRlsE/	n.|轻木（轻质木材；用以制作模型、木筏等）；轻木树（生长於热带美洲）|
balt		n.|波罗的海东南岸地区的居民|
balti		n.|克什米尔北部人民所用的藏缅语|
balun		|不平衡变压器|
bam		vt.|欺骗|
bamboo		n.|竹子|
ban	/bAn; bAn/	v.|明令禁止（某事物）|
banal	/bE5nB:l; ?@ 5beInl; benl/	adj.|平常的；乏味的|
banana	/bE5nB:nE; ?@ bE5nAnE; bEnAnE/	n.|香蕉；见；之插图；香蕉树（生长於热带或亚热带）|
banc		n.|法官席|
banco		n.|审判官席|
band	/bAnd; bAnd/	n.|带；箍；条|
banda		n.|(非洲中部的)茅屋  Sea 班达海(在印度尼西亚苏拉威西岛东南侧)|
bandage		n.|绷带|
bandh		n.|停职|
bands		n.|法官|
bandy	/5bAndI; bAndI/	v.|习语；旧；吵嘴；顶嘴|
bane	/beIn; ben/	n.|习语；某人罹祸或不幸的原因；祸根|
bang	/bAN; bAN/	v.|故意猛砸（常为产生巨响）|
bani		pl.|动员令|
bania		n.|'=bunnia|
banish		v.|驱逐|
banjo	/5bAndVEU; bAndVo/	n.|班卓琴（一种弦乐器；长颈、圆身；用手指弹拨）|
bank	/bANk; bANk/	n.|河边的斜坡；河边的土地；河岸；河畔|
banka		|'=Bangka|
bankrupt		adj.|破产的|
banner		n.|横幅|
banns	/bAnz; bAnz/	n.|教堂里的）结婚预告|
banquet		n.|宴会|
bans		n.|(=banns)结婚预告|
bant		vi.|节食减肥法|
bantu	/9bAn5tu:; ?@ also 5bB:ntu:; bAntu, bBntu/	n.|班图人（非洲中部和南部人数众多的黑人部族）|
baor		|British Army of the Rhine 英国驻(联邦德国)莱茵军|
baps		|British Association of Plastic Surgeons 英国整形外科医师协会|
bar	/bB:(r); bBr/	n.|棒；条|
barat		n.|十二月至二月间发生在西里伯岛北岸之强烈阵雨|
barb	/bB:b; bBrb/	n.|箭、鱼钩等的）倒钩；见；之插图|
barbe		n.|(修女、中世纪妇女用来遮掩颈部的)白麻巾|
barbecue		n.|烧烤|
bard	/bB:d; bBrd/	n.|尤指凯尔特民族的）吟游诗人|
bare	/beE(r); bZr/	adj.|裸露的|
barely		adv.|几乎不|
barf		v.|呕吐|
bargain		n.|便宜货|
barge	/bB:dV; bBrdV/	n.|驳船（河流、运河等中载运客货的大型平底船）|
bari		|巴里[意大利东南部港市]|
baric		adj.|含钡的|
barie		n.|旧时气体压力单位|
bark	/bB:k; bBrk/	n.|树皮|
barking dogs seldom bite		n.|爱叫的狗不咬人|
barky		adj.|含有树皮的|
barm		n.|酵母|
barmy	/5bB:mI; bBrmI/	adj.|愚蠢的；疯狂的|
barn	/bB:n; bBrn/	n.|农场里储存乾草、谷物等的）仓房|
baron	/5bArEn; bArEn/	n.|男爵（英国贵族的最低一级成员；称为；非英国贵族的此一级成员|
barre		n.|练芭蕾舞时之扶手|
barrel		n.|桶|
barrier		n.|障碍|
bars		n.|(|
barye		n.|微巴(压力单位)|
bas		n.|[计] BASIC程序的扩展名|
basal		adj.|基础的|
basan		n.|书面羊皮|
base	/beIs; bes/	n.|某物的）底部；尤指）底座；基底|
baseball		n.|棒球|
based		v.|立基于|
based on		adj.|基于|
basel		n.|巴塞尔(瑞士西北部城市,在莱茵河畔)|
basement		n.|地下室|
bases		|base的复数,见base|
bash	/bAF; bAF/	v.|猛击（某人[某物]）|
basha		n.|(印度的)茅顶竹舍|
basho		|<日>|
basic	/5beIsIk; besIk/	adj.|基本的；根本的；基础的|
basil	/5bAzl; bAzl/	n.|罗勒（芳香的草本植物；用於烹调）|
basin	/5beIsn; besn/	n.|盆；见；之插图|
basis	/5beIsIs; besIs/	n.|构成某事物的主要原则；基础|
bask	/bB:sk; ?@ bAsk; bAsk/	v.|坐著或躺著取暖|
basket		n.|篮子|
basketball		n.|篮球|
basle		|'=Basel|
bason		n.|(=basin)脸盆|
basra		|巴士拉[伊拉克东南部港市]|
bass	/5bAs; bAs/	n.|或不变或作；鲈鱼（淡水或海洋中产；可食）|
basse		|couturen.非最高级时髦的女装式样|
bassi		|低音部,低音歌手|
basso		n.|低音部|
bast	/bAst; bAst/	n.|得自树木的；尤指菩提树的）内皮纤维（用於编结篮筐、席子等）|
basta		int.|<意>够了!足了!|
baste	/beIst; best/	v.|疏缝；假缝；大缝（用长针脚暂时缝合）|
bat	/bAt; bAt/	n.|蝙蝠；见附录；之插图|
bata		|巴塔[赤道几内亚西部港市](临几内亚湾)|
batch	/bAtF; bAtF/	n.|面包、糕饼等的）一炉|
bate		vt.|减弱|
bated	/5beItId; betId/	adj.|习语；因焦急或兴奋而屏住气息|
bath	/bB:W; ?@ bAW; bAW/	n.|洗澡；沐浴|
bathe	/beIT; beT/	v.|用水洗（某物）；用水浸泡|
bathroom		n.|浴室|
batik	/bE5ti:k, also 5bAtIk; bEtik, bAtIk/	n.|蜡防印花法|
baton	/5bAtn, 5bAtCn; ?@ bE5tCn; bEtBn/	n.|持警棍出击（警察等用警棍驱退群众）|
bats	/bAts; bAts/	adj.|尤指人）发疯；反常；参看|
batt		n.|棉絮|
batta		n.|战时津贴|
battery		n.|电池|
battle	/5bAtl; bAtl/	n.|战斗；战役；交战|
battu		|<法>|
batty	/5bAtI; bAtI/	adj.|指人、思想等）疯狂的；稍反常的；参看|
batum		|巴统[前苏联外高加索黑海东岸港市]|
bauk		v.|&|
baulk		n.|阻碍|
baume		adj.|[物]波美比重计的|
bavin		n.|生火用的柴束|
bawd		n.|鸨母|
bawdy	/5bR:dI; bRdI/	adj.|以粗俗或下流的方式）娱人的|
bawl	/bR:l; bRl/	v.|大叫；大喊|
bay	/beI; be/	n.|月桂树（长有深绿色树叶和紫色浆果）|
bayou	/5baIu:; baIu/	n.|美国南部的）长沼|
bazar		n.|市场|
bazoo		n.|<美俚>嘴|
bba		|bachelor of business administration 工商管理学学士|
bbb		|bed,breakfast and bath  附早餐与浴室之旅馆|
bbbc		|British Boxing Board of Control 英国拳击运动管理委员会|
bbc	/9bi: bi: 5si:; 9bi bi si/	abbr.|英国广播公司|
bbe		|Bachelor of Business Education 商务教育学士|
bbfc	/9bi: bi: ef 5si:; 9bi bi Zf si/	abbr.|英国电影审查局|
bbl		|be back later,稍后便回,实况聊天服务中的常用语|
bbs		|Bulletin Board System,电子布告栏系统|
bc	/9bi: 5si:; 9bi si/	abbr.|公元前|
bcc		|Blind Carbon Copy,隐蔽副本;blind courtesy copy,密件抄送|
bcom		|bachelor of commerce 商学士|
bctv		n.|北京有线电视台|
bds		|Bachelor of Dental Surgery 牙科学士|
bdsa		|Business and Defense Services Administration(美国商务部) 企业和国防勤务署|
bdsc		|bachelor of dental science,牙科医学士|
bdst		|British double summer time,英国二重夏令时间|
bdtr		|Burst Data Transfer Rate,磁盘在特定的情况下,在一个很短的时间段内能够达到的最大数据传输速率。|
be	/bI; bI; strong form 强读式 bi:; bi/	v.|用於；之後及；等；名词之前；有；存在；生存|
be able to		v.|能够|
be about		v.|大约；正要|
be about to		v.|即将|
be absorbed in		v.|全神贯注于|
be accustomed to		v.|习惯于|
be addicted to		v.|沉迷于|
be admitted to		v.|被录取|
be afraid of		v.|害怕|
be aimed at		v.|旨在|
be angry with		v.|生……的气|
be annoyed at		v.|对……恼怒|
be anxious about		v.|为……焦虑|
be ashamed of		v.|为……羞愧|
be associated with		v.|与……相关|
be attached to		v.|依恋|
be aware of		v.|意识到|
be beneficial to		v.|对……有益|
be blind to		v.|对……视而不见|
be bored with		v.|对……厌烦|
be born		v.|出生|
be born in		v.|出生于|
be bound to		v.|必定|
be busy doing		v.|忙于做|
be busy with		v.|忙于|
be capable of		v.|有能力做|
be careful of		v.|小心|
be careful with		v.|小心处理|
be caught in		v.|被困于|
be certain about		v.|对……确定|
be characteristic of		v.|是……的特征|
be charged with		v.|被指控|
be composed of		v.|由……组成|
be concerned about		v.|担心|
be concerned with		v.|与……有关|
be confident of		v.|对……有信心|
be conscious of		v.|意识到|
be consistent with		v.|与……一致|
be content to		v.|愿意|
be content with		v.|满足于|
be convinced of		v.|确信|
be covered with		v.|被……覆盖|
be crazy about		v.|痴迷于|
be crowded with		v.|挤满|
be curious about		v.|对……好奇|
be curious to		v.|急于|
be delighted at		v.|对……高兴|
be determined to		v.|决心|
be devoted to		v.|献身于|
be disappointed at		v.|对……失望|
be discouraged at		v.|对……灰心|
be doubtful about		v.|怀疑|
be dressed in		v.|穿着|
be due to		v.|由于；应归于|
be eager for		v.|渴望|
be eager to		v.|渴望|
be engaged in		v.|从事|
be engaged to		v.|与……订婚|
be equal to		v.|等于|
be equipped with		v.|配备|
be excited about		v.|对……兴奋|
be exposed to		v.|暴露于|
be faced with		v.|面临|
be familiar with		v.|熟悉|
be famous for		v.|因……著名|
be fit for		v.|适合|
be fond of		v.|喜欢|
be fond of doing		v.|喜欢做|
be forced to		v.|被迫|
be free from		v.|摆脱|
be free to		v.|自由地|
be friendly to		v.|对……友好|
be frightened of		v.|害怕|
be full of		v.|充满|
be glad to		v.|乐于|
be good at		v.|擅长|
be good for		v.|对……有好处|
be grateful for		v.|感激|
be guilty of		v.|犯有……罪|
be harmful to		v.|对……有害|
be hopeless at		v.|对……无望|
be hungry for		v.|渴望|
be ignorant of		v.|对……无知|
be immune to		v.|对……免疫|
be impatient with		v.|对……不耐烦|
be impressed by		v.|被……打动|
be in love with		v.|与……恋爱|
be in need of		v.|需要|
be in trouble		v.|处于困境|
be independent of		v.|独立于|
be indifferent to		v.|对……漠不关心|
be inferior to		v.|次于|
be innocent of		v.|清白|
be interested in		v.|对……感兴趣|
be interested in doing		v.|对做……感兴趣|
be jealous of		v.|嫉妒|
