h	/eItF; etF/	abbr.|指铅笔中的铅心）硬的|
ha	/hB:; hB/	|用以表示惊奇、 快乐、 得意、 疑惑等|
ha-ha	/5hB:hB:; hB9hB/	n.|有墙或篱筑於其间的）壕沟（作公园或花园的边界而不致妨碍视线）|
haaf		n.|(英国设得兰群岛和奥克尼群岛附近的)深海渔场|
haar		n.|[气]哈雾(苏格兰东部、英格兰东北部一种湿冷海雾)|
habit	/5hAbIt; hAbIt/	n.|习惯|
habitat		n.|栖息地|
habu		n.|[动]响尾蛇属毒蛇(产于琉球群岛及其附近地区)|
hac		|Honourable Artillery Company (英国)荣誉炮兵连|
hack	/hAk; hAk/	v.|猛砍或猛劈某物[某人|
hacky		n.|'=hackie|
had		vbl.|have 的过去式和过去分词|
had better		v.|最好|
hadal		adj.|超深渊的|
hade		n.|伸角|
hades	/5heIdi:z; hediz/	n.|希腊神话中的）冥府；阴间|
hadj		n.|赴麦加(Mecca)朝圣|
hadji	/5hAdVI; hAdVi/	n.|去麦加朝拜过的伊斯兰教徒|
hadst		v.|have的第二人称单数过去式|
hae		v.|(=have)有|
haeju		|海州[朝鲜民主主义人民共和国西部港市]|
haem		n.|[生化]血红素|
haet		n.|少量|
hafiz		n.|能背诵全部可兰经的伊斯兰教徒|
haft	/hB:ft; ?@ hAft; hAft/	n.|斧、 刀等的）柄|
hafta		|<主美口>=have to|
hag	/hAg; hA^/	n.|丑老太婆；巫婆|
hagar		n.|[基督教]夏甲|
hagen		n.|哈根(德国著名民间史诗 <<尼伯龙根之歌>>中的人物)|
hague		n.|海牙(荷兰的中央政府所在地,在荷兰西部)|
hah		int.|嘿|
haick		n.|(阿拉伯人的)长方形布|
haida		n.|(居住在北美的印第安)海达族人[语]|
haifa		|海法[以色列港市]|
haik		n.|(阿拉伯人的)长方形布|
hail	/heIl; hel/	n.|雹；冰雹|
haily		adj.|冰雹的|
hair	/heE(r); hZr/	n.|人或动物的）毛发（指单根）|
hairy		adj.|似）毛发的|
haiti		n.|海地|
haj		n.|[伊斯兰教]麦加朝圣|
haji		n.|(=hadji)赴麦加朝圣过的伊斯兰教徒|
hajj		n.|[伊斯兰教]麦加朝圣|
hajji		n.|到麦加朝圣过的伊斯兰教徒|
haka		n.|毛利(Maoli,澳洲土著)族的战舞|
hake	/heIk; hek/	n.|不变；鳕鱼（可食）|
hakea		n.|哈克木属植物|
hakim		n.|(伊斯兰教国家的)医师|
hakka		n.|<汉>客家|
hal		n.|Henry的昵称|
halal	/hB:5lB:l; hElBl/	v.|按伊斯兰教教规的规定）宰杀（肉畜）|
hale	/heIl; hel/	adj.|习语；尤指老年人）健壮的；矍铄的|
haleb		|<阿拉伯>=Aleppo|
haler		n.|赫勒(捷克货币单位,=1/100克朗)|
half	/hB:f; ?@ hAf; hAf/	n.|半；一半|
halfy		n.|<美俚>没腿的残疾人|
halid		n.|卤化物|
hall	/hR:l; hRl/	n.|门厅；正门走廊|
hallo	/hE5lEU; hElo/	|用作打招呼、 引起注意、 表示惊讶或接电话的招呼声|
halm		n.|茎|
halma		n.|哈尔马棋(一种跳棋)|
halo	/5heIlEU; helo/	n.|绘画等作品中）（环绕圣像头上的）光轮；光环|
halt	/hR:lt; hRlt/	n.|暂停；停顿|
halve	/hB:v; ?@ hAv; hAv/	v.|把（某物）对半分|
ham	/hAm; hAm/	n.|火腿|
hama		|哈马[叙利亚西部城市]|
hamah		|'=Hama|
hamal		n.|(中东的)搬运工|
hamam		n.|(伊朗的)公共澡堂|
haman		n.|[圣经]哈曼|
hame		n.|颈轭(驾车时附加在马颈上)|
hamel		n.|<南非>阉羊|
hammer		n.|锤子|
hammy		adj.|火腿味的|
hamza		adj.|(=hamzah)<阿拉伯>代表闭锁音的符号的|
hanap		n.|中古时期的高脚杯|
hance		n.|[建]拱腰|
hand	/hAnd; hAnd/	n.|手|
hand down		v.|传下来|
hand in		v.|上交|
hand in hand		adv.|手拉手|
hand on		v.|传递|
hand out		v.|分发|
hand over		v.|移交|
handful		n.|一把|
handkerchief		n.|手帕|
handle		v.|处理|
handsome		adj.|英俊的|
handwriting		n.|笔迹|
handwriting on the wall		n.|不祥之兆|
handy	/5hAndI; hAndI/	adj.|指小器具等）便於拿取的；便於使用的；有用的|
hang	/hAN; hAN/	v.|悬挂；吊死|
hang about		v.|闲逛|
hang back		v.|退缩|
hang on		v.|稍等；坚持|
hang together		v.|团结一致|
hang up		v.|挂断电话；挂起|
hank	/hANk; hANk/	n.|毛线、 棉线等的）一束；一卷；一把|
hanko		|汉科[芬兰西南部港市]|
hanky	/5hANkI; hANkI/	n.|手帕|
hanoi		|河内[越南首都]|
hans		n.|德国人或荷兰人的绰号|
hansa		n.|'=hanse|
hanse		n.|(中世纪)商业同业公会(会费)|
hant		n.|(=haunt)常到之处|
hantu		|<马来语>|
haole		n.|(夏威夷的)白人|
haoma		n.|'=hom|
haori		|<日>|
hap		n.|偶然|
haply		adv.|<古>偶然地|
happen	/5hApEn; hApEn/	v.|偶然地或必然地）出现；发生|
happi		n.|(日常穿的)宽松外衣|
happy	/5hApI; hApI/	adj.|有愉快、 满意、 满足等感受或表现的；快乐的；幸福的|
happy as a clam		adj.|非常快乐|
haram		n.|(=harem)(伊斯兰教徒)女眷居住的内室|
harass		v.|骚扰|
harbor		n.|港口|
hard	/hB:d; hBrd/	adj.|硬的；坚实的；坚固的|
hard by		adv.|在附近|
hard of hearing		adj.|听力不好|
hard up		adj.|缺钱|
harden		v.|变硬|
hardly		adv.|几乎不|
hards		n.|麻屑|
hardship		n.|苦难|
hardware		n.|硬件|
hardy	/5hB:dI; hBrdI/	adj.|耐寒的；能吃苦的；强壮的；坚强的|
hare	/heE(r); hZr/	n.|野兔；参看；见附录；插图|
harem	/5hB:ri:m; ?@ 5hArEm; hZrEm/	n.|穆斯林传统住宅中女眷居住的内室或闺房|
harim		n.|(=harem)(伊斯兰教女教徒的)闺房|
hark	/hB:k; hBrk/	v.|听|
harl		n.|麻的纤维|
harle		n.|'=harl|
harm	/hB:m; hBrm/	n.|损害；伤害|
harmful		adj.|有害的|
harmony		n.|和谐|
harness		v.|利用|
