i	/aI; aI/	pron.|人称代词；用作动词的主体；我（说话者或写作者称自己）|
i'd	/aId; aId/	|缩约式|
i'll	/aIl; aIl/	|缩约式|
i'm	/aIm; aIm/	|缩约式|
i've	/aIv; aIv/	|缩约式|
iaa		|indoleacetic acid|
iaaf		|International Amateur Athletic Federation 国际业余田径联合会|
iab		|Internet Architectrue Board ,Internet架构委员会|
iaba		|International Amateur Boxing Association 国际业余拳击协会|
iacu		|International Association of Catholic Universities 国际天主教大学协会|
iad		|International Astrophysical Decade 国际天体物理十年|
iadl		|International Association of Democratic Lawyers 国际民主法律工作者协会|
iaea		|International Atomic Energy Agency,国际原子能组织|
iaf		|International Astronautical Federation 国际宇航联合会|
iago		n.|埃古(莎士比亚悲剧<<奥赛罗>>|
iaido		n.|居合道(日本剑道的一派,由坐姿迅速拔刀格杀)|
ial		|英特尔架构实验室 Internationl Algebaic Language国际代数语言|
ialc		|instrument approach and landing chart [空]仪表进场和着陆图|
iam		|International Association of Machinists 国际机械师协会|
iamap		|International Association of Meteorology and Atmospheric Physics 国际气象学和大气物理学协会|
iamb		n.|抑扬格|
iambi		|短长格|
iaru		|International Amateur Radio Union 国际业余无线电爱好者联合会|
iasi		|雅西[罗马尼亚东北部城市]|
iata		|International Air Transport Association 国际航空运输协会|
iaupe		|International Association of University Professors of English 国际大学英语教授协会|
iaz		|inner artillery zone 高射炮防空禁区|
ib		|Intelligence Building,智能大厦|
iba	/9aI bi: 5eI; 9aI bi e/	abbr.|独立广播局；参看|
ibada		n.|伊斯兰教徒在宗教上的责任(如颂经,祷告,朝圣等)|
ibew		|International Brotherhood of Electrical Workers 国际电气工人兄弟会|
ibex	/5aIbeks; aIbZks/	n.|或不变或作；巨角塔尔羊（角长而曲）|
ibid		adv.|同前|
ibis	/5aIbIs; aIbIs/	n.|涉禽；似鹭；喙长而曲；产於温带）|
ibiza		n.|伊比沙岛(位于地中海西部)|
iblis		n.|(=Eblis)恶魔|
ibm	/9aI bi: 5em; 9aI bi Zm/	abbr.|国际商用机器公司（一家大型计算机公司）|
ibo		n.|(尼日利亚东南部的)伊博人[语]|
ibrd		n.|国际复兴开发银行|
ibs		|情报库系统|
iby		|International Biological Year 国际生物年|
ic		|interchange 高速公路转换出入口;[电]集成电路,指令计数器|
ica		|集成通信适配器|
icac		|廉政公署|
icad		|智能计算机辅助设计|
icae		|智能计算机辅助工程|
icam		|智能计算机辅助制造|
icao		|International Civil Aviation Organization,国际航空合作组织|
icbm	/9aI si: bi: 5em; 9aI si bi Zm/	abbr.|洲际弹道导弹；参看|
icc		|国际计算中心|
icccm		|客户间通信约定|
ice	/aIs; aIs/	n.|冰|
iceberg		n.|冰山|
iced		adj.|冰冷的|
iceni		|[复]|
icf		|International Code Frame,国际密码框架|
icftu		n.|国际自由劳工联盟|
ichor		n.|败液|
ici	/9aI si: 5aI; 9aI si aI/	abbr.|帝国化学工业公司|
icily		adv.|冷冰冰地|
icing	/5aIsIN; aIsIN/	n.|用糖、 蛋白、 香料等混制的混合物（覆於糕饼上）|
icj		|International Court of Justice|
icker		n.|<苏格兰>谷穗|
icky		adj.|粘得讨厌的|
icmp		|Internet Control Messages Protocol,网间控制报文协议|
icon	/5aIkCn; aIkBn/	n.|东正教的）圣像|
icp		|Internet Content Provider,Internet内容提供商|
icr		|Institute for Cancer Research (美国)癌症研究所|
icrp		|International Commission on Radiological Protection 国际辐射防护委员会|
