k	/keI; ke/	abbr.|一千（源自希腊|
ka		|知识获取|
kaaba		n.|建于麦加的伊斯兰教寺院内的圣堂|
kab		n.|(=cab)出租车|
kabob		n.|烤肉串|
kabul		n.|喀布尔(阿富汗的首都)|
kadi		n.|(=cadi)下级法官|
kaf		n.|希伯莱语的第十一个字母(相当于英语的k)|
kafir		n.|'=kaffir|
kafue		n.|喀辅埃河|
kago		n.|<日>日本轿子|
kahn		|test[医]康氏试验(梅毒絮状沉淀反应试验)|
kaiak		n.|爱斯基摩人用的皮船|
kaif		n.|(=kef)麻醉品|
kail		n.|甘蓝类蔬菜(汤)|
kain		n.|实物租税|
kaka		n.|(一种产于新西兰的)橄榄色鹦鹉|
kaki		n.|亚洲柿树|
kale	/keIl; kel/	n.|羽衣甘蓝|
kali		n.|卡莉(印度教女神,形象可怖,既能造福生灵,也能毁灭生灵)|
kalif		n.|'=caliph|
kalpa		n.|<梵>劫(世界自创始至毁灭之一周期,古印度认为世界每若干万年便毁灭一次)|
kama		n.|[印神] 爱神 卡马河(流经前苏联乌拉尔地区,是伏尔加河的主要支流)|
kame		n.|小沙丘|
kamet		n.|喀美特峰|
kami		n.|<日> (神道教的)神|
kan		n.|赣江(在中国江西省境)|
kana		n.|<日> 假名(日文的字母,由汉字简化而来者)|
kandy		|康提[斯里兰卡中部城市](佛教圣地)|
kang		n.|<汉> 炕|
kangaroo		n.|袋鼠|
kanji		n.|<日> 日本汉字|
kano		|卡诺[尼日利亚北部城市]|
kansu		|见Gansu|
kanu		|Kenya African National Union肯尼亚非洲民族联盟|
kanzu		n.|康祖长袍(非洲人服装,通常为白色长袖)|
kaon		n.|[物] K 中介子|
kaph		n.|(=kaf)希伯莱语的第十一个字母(相当于英语的K)|
kapo		n.|囚犯头(管理其他犯人的犯人)|
kapok	/5keIpCk; kepBk/	n.|木棉|
kappa		n.|希腊文字母第 10字|
kaput	/kE5pUt; kEpJt/	adj.|俚；完蛋了；失败了；坏了|
kara		|Sea喀拉海(北冰洋边海,在苏联新地岛和北地群岛之间)|
karat		n.|开|
karen		|State克伦邦[缅甸邦名]|
karl		n.|卡尔(Charles 的异体)(m.)|
karma	/5kB:mE; kBrmE/	n.|佛教和印度教的）业（音译；羯磨；意为个人行为的总和可决定其来世的命运）；尤作戏谑语；命运；宿缘|
karn		n.|为cairn之变体|
karol		n.|卡罗尔(Carol的异体)(f.)|
karoo		n.|南非洲的干燥台地高原|
karst		n.|石灰岩地区常见的地形|
kart		n.|<美>小型赛车|
karun		n.|卡鲁恩河|
karzy		n.|<俚>厕所 抽水马桶|
kasai		n.|卡塞河(非洲一河流)|
kasha		n.|荞麦粥|
kat		n.|(=khat) 阿拉伯茶(产于非洲和阿拉伯)|
kata		|<日>|
katar		|'=Qatar|
kate		n.|Catherine 的昵称|
kathi		|<马来语>|
kathy		n.|凯西(Katherine 的昵称 亦作 Kathie)(f.)|
katie		n.|卡蒂(Kate 的异体 亦作Katy)(f.)|
kauai		n.|考艾岛(在夏威夷)|
kauri		n.|杉木的一种或其木材[树脂]|
kaury		n.|'=kauri|
kava		n.|Polynesia 产的一种灌木|
kay		n.|凯(女子名)|
kayah		|State 克耶邦[缅甸邦名]|
kayak	/5kaIAk; kaIAk/	n.|见；插图；海豹皮船（爱斯基摩人制的单人小舟）；类似海豹皮船的）小艇|
kayf		n.|<俚><谑> =cafe|
kayo		n.|击倒|
kazak		n.|哈萨克人[族]|
kazan		|喀山[苏联伏尔加河中游城市]|
kazoo	/kE5zu:; kEzu/	n.|一种玩具笛|
kb	/9keI 5bi:; 9ke bi/	abbr.|律；参看|
kbar		n.|(=kilobar)千巴(气压或声压单位)|
kbe	/9keI bi: 5i:; 9ke bi i/	abbr.|第二等的）大英帝国最高勋爵；英帝国爵级司令勋章|
kbl		n.|阿富汗首都喀布尔机场之代号|
kbp		|king's bishop's pawn (国际象棋中的)王翼象前兵|
kc	/9keI 5si:; 9ke si/	abbr.|律；参看|
kcal		|kilocalorie(s)|
kcb		|Knight Commander (of the Order) of the Bath (英国)(第二等的)高级巴思勋爵士|
kcia		|Korean Central Intelligence Agency 韩国中央情报局|
kcmg		|Knight Commander (of the Order) of St. Michael &. St. George(英国)(第二等的)高级圣迈克尔和乔治勋爵士|
kcps		|kilocycles per second 千周[秒,千赫|
kcvo		|Knight Commander of the (Royal) Victorian Order (英国)(皇家)(第二等的)高级维多利亚勋爵士|
kd		|knockdown 解体|
kdc		|密钥分配中心|
kea		n.|食肉鹦鹉|
keap		v.|(=kep)扣留|
kebab	/kI5bAb; kEbAb/	n.|常作；烤肉串|
kebob		n.|'=kabob|
keck		vi.|[象声]干呕|
ked		n.|凯德软底帆布鞋[商标名]|
kedah		n.|吉打州(马来西亚的一邦)|
kedge		v.|抛小锚移船|
keef		n.|(=kef)吸毒后的迷糊状态|
keek		v.|偷看|
keel	/ki:l; kil/	n.|船的）龙骨|
keen	/ki:n; kin/	adj.|热切的；热情的；热心的|
keeno		n.|'=keno|
keep	/ki:p; kip/	v.|保持；保存；继续|
keep a promise		v.|遵守诺言|
keep a record		v.|记录|
keep a secret		v.|保密|
keep a watch		v.|看守|
keep after		v.|追赶|
keep an eye on		v.|照看|
keep away		v.|远离|
keep back		v.|阻止；隐瞒|
keep company with		v.|与……为伴|
keep down		v.|控制；压低|
keep fit		v.|保持健康|
keep from		v.|阻止；隐瞒|
keep in		v.|留在室内|
keep in mind		v.|记住|
keep in order		v.|保持整齐|
keep in touch with		v.|与……保持联系|
keep off		v.|避开；不接近|
keep on		v.|继续|
