o	/E; E/	prep.|尤用以构成复合词组|
o'er	/R:(r); Rr/	adv.|越过溪谷与山丘|
oa		n.|办公自动化 [军] Operational Analysis|
oaa		|开放式应用体系结构|
oaec		|Organization for Asian Economic Cooperation,亚洲经济合作组织|
oaf	/EUf; of/	n.|傻瓜；笨蛋（通常指男性）|
oahu		|瓦胡岛[美国](在太平洋中北部,夏威夷群岛的主岛)|
oak	/EUk; ok/	n.|栎树；橡树；柞树|
oaken	/5EUkEn; okEn/	adj.|旧；栎木制的；橡木制的|
oakum		n.|麻絮|
oam		n.|操作维护管理|
oao		|Orbiting Astronomical Observatory|
oap	/9EU eI 5pi:; 9o e pi/	abbr.|领养老金的人|
oapec		n.|阿拉伯石油输出国组织|
oar	/R:(r); Rr/	n.|桨；见；插图|
oary		adj.|<诗>有桨的|
oas	/9EU eI 5es; 9o e Zs/	abbr.|美洲国家组织|
oasis	/EU5eIsIs; oesIs/	n.|沙漠中的）绿洲|
oast	/EUst; ost/	n.|忽布（啤酒花）烘乾|
oat		n.|[植]燕麦|
oaten		adj.|燕麦的|
oath	/EUW; oW/	n.|誓言；誓词；誓约；宣誓|
oats	/EUts; ots/	n.|有时用动词；燕麦|
oau	/9EU eI 5ju:; 9o e ju/	abbr.|非洲统一组织|
oaves		|oaf的复数|
oaw		|Optically Assisted Winchester,光学辅助温氏技术|
ob		abbr.|死（源自拉丁；参看|
oba		n.|奥巴(西非约鲁巴人的首领)|
obdr		|One Button Disaster Resuming,单键灾难恢复|
obe	/9EU bi: 5i:; 9o bi i/	abbr.|第四等的）大英帝国最高勋爵；英帝国官佐勋章|
obeah		n.|<美>非洲黑人间奉行的巫术|
obedient		adj.|服从的|
obese	/EU5bi:s; obis/	adj.|或医；指人）过度肥胖的|
obey	/E5beI; Ebe/	v.|服从；顺从；执行（命令）|
obi		n.|宽腰带(日本妇女和服用的)|
obiit		v.|<拉>卒|
obit		n.|(=obituary) 讣告|
object	/5CbdVIkt; BbdVIkt/	n.|可见到及可触摸的实物；物体|
object to		v.|反对|
object to doing		v.|反对做|
objection		n.|反对|
objective		n.|目标|
obligation		n.|义务|
oblige		v.|迫使|
oboe	/5EUbEU; obo/	n.|音；双簧管；见附录；插图|
obol		n.|古代希腊的银币|
obole		n.|奥波尔(中世纪法国的一种银币)|
obscure		adj.|模糊的|
observation		n.|观察|
observatory		n.|天文台|
observe		v.|观察|
observer		n.|观察者|
obstacle		n.|障碍|
obtain		v.|获得|
obvious		adj.|明显的|
ocam		n.|非洲与马尔加什共同组织|
ocap		|Open Cable Application Platform,开放式线缆应用平台|
occasion		n.|场合|
occasional		adj.|偶尔的|
occupation		n.|职业|
occupy		v.|占据|
occur	/E5k\:(r); Ek/	v.|发生；出现|
occur to		v.|想到|
occurrence		n.|发生|
ocd		|Office of Civil Defense (美国)民防局|
ocdm		|Office of Civil and Defense Mobilization (美国)民防国防动员署|
