u	/ju:; ju/	adj.|或谑；视为上等阶层的；有上流社会特徵的|
uaa		|United Arab Airlines ,阿拉伯航空|
uae	/9ju: eI 5i:; 9ju e i/	abbr.|阿拉伯联合酋长国|
ual		|United Air Lines (美国)联合航空公司|
uapa		|United Amateur Press Association (美国)联合业余报业协会|
uar	/9ju: eI 5B:(r); 9ju e Br/	abbr.|阿拉伯联合共和国|
uart		|Universal Asynchronous Receiver Transmitter,通用异步收发器|
uat		|<法> Union Aeromaritime de Transport (法国)联合海空运输公司|
uaw		|United Automobile(或Auto) Workers (美国)联合汽车工会|
uba		|Union of Burma Airways 缅甸联邦航空公司|
ube		|宇部[日本本州岛西南岸港市]|
ubi		conj.|(处方用语)在那里|
ubiquitous		adj.|无处不在的|
ubon		|乌汶[泰国东部城市]|
ubykh		n.|尤比克语(高加索语系中一种)|
uc		|upper case,大写;ubiquitous computer,无处不在的计算机|
ucca	/5QkE; QkE/	abbr.|大学统一招生委员会|
ucdos		|希望汉字系统|
ucky		adj.|<口>黏乎乎的 脏兮兮的 令人厌恶的|
ucla		|University of California at Los Angeles (美国)加利福尼亚大学洛杉矶分校|
ucsd		|University of California at San Diego (美国) 加利福尼亚大学圣迭戈分校|
uda	/9ju: di: 5eI; 9ju di e/	abbr.|北爱尔兰防务协会|
udag		|Urban Development Action Grant (美国)城市发展行动拨款|
udal		n.|土地自由保有权|
udder	/5QdE(r); QdL/	n.|母牛、 母羊等的）乳房；见；插图|
uddi		|Universal,Description,Discovery and Integration"",通用描述、发现和集成服务|
udf		|Universal Disc Format,统一光盘格式|
udi	/9ju: di: 5aI; 9ju di aI/	abbr.|单方面宣告独立|
udine		|乌迪内[意大利东北部城市]|
udo		n.|[植]土当归|
udp		|User Datagram Protocol,用户数据报文协议|
udr	/9ju: di: 5B:(r); 9ju di Br/	abbr.|北爱尔兰防卫军|
udsl		|单方向DSL|
udt		|Uniform Data Transfer,一致性数据传输|
ue		|United Electrical,Radio and Machine Workers of America 美国电气、无线电和机器工人联合会|
uefa	/ju:5i:fE; juifE/	abbr.|欧洲足球协会联合会|
ufo	/9ju: ef 5EU or, in informal use, 俗读作 5ju:fEU; 9ju Zf o, ju9fo/	abbr.|不明飞行物（尤指飞碟）|
uft		|United Federation of Teachers (美国纽约)教师联合会|
ugali		n.|(东非的)粗玉米粉|
ugc		|University Grants Committee (英国)大学赠款委员会|
ugh		|通常指类似；的声音；发音时双唇呈扁或圆形；用以表示厌恶或恐惧；通常伴有相应的面部表情；喔唷；你吃蜗牛啊|
