y	/waI; waI/	|符号；数；未知数|
ya		|young adult 年轻人|
yabbi		n.|斑狼|
yabby		n.|小形螫虾的一种|
yacht	/jCt; jBt/	n.|快艇；尤指专为竞赛用的）帆船|
yack	/jAk; jAk/	v.|俚；唠唠叨叨；闲扯（常为高声地）|
yaf		|Young Americans for Freedom 美国青年争取自由组织|
yafa		|<阿拉伯>=Jaffa|
yaff		v.|吠|
yafo		|<希伯来>=Jaffa|
yager		n.|狙击兵|
yagi		|[无]|
yah		int.|呀(表示不愉快,嘲笑之声音)|
yahoo	/jE5hu:; jEhu/	n.|粗鲁的人|
yahve		n.|(=Yahwe)耶和华(基督教的上帝)|
yair		adv.|<澳>=yeah|
yak	/jAk; jAk/	n.|牛（产於中亚、 西藏）|
yakin		n.|[动物]扭角羚|
yakka		n.|<澳俚> 艰苦工作|
yakow		n.|亚考牛(英国培育的一种肉用牛,由牦牛和苏格兰高原牛杂交而成)|
yakut		n.|雅库特(苏联自治共和国名)|
yale	/jeIl; jel/	n.|专利名；耶鲁锁；撞锁（常用作门等的锁）|
yali		n.|(博斯普鲁斯海峡岸边的) 海滨住宅|
yalie		n.|<美口>(美国)耶鲁大学学生(或毕业生)|
yalta		|雅尔塔[苏联克里米亚半岛南岸港市]|
yalu		n.|鸭绿江|
yam	/jAm; jAm/	n.|薯蓣（通称山药）；薯蓣|
yama		n.|阎罗王|
yamal		|亚马尔半岛[苏联西伯利亚西北部]|
yamen		n.|中国古代之衙门|
yami		n.|雅美族人|
yamma		n.|[动]美洲驼|
yamun		n.|衙门|
yanam		|亚南[印度东部港市]|
yang	/jAN; jAN/	n.|中国哲学）阳；参看|
yank	/jANk; jANk/	v.|猛拉（某物）（常为向某方向）|
yap	/jAp; jAp/	v.|尤指小狗）叫；吠|
yapok		n.|(=yapok)[动]蹼足负鼠|
yapon		n.|'=yaupon|
yapp		n.|卷边装钉|
yappy		adj.|喜欢叫嚷的|
yaqui		n.|雅基族[人,语](一印第安族)|
yarak		n.|(猎鹰等的)良好飞行状态|
yard	/jB:d; jBrd/	n.|建筑物附近或周围（通常为无顶篷的）围起来的空地（常为经铺设者）；院子|
yare		adj.|敏捷的|
yaren		|亚伦[西太平洋岛国瑙鲁首都]|
yarke		n.|[动]狐尾猴|
yarn	/jB:n; jBrn/	n.|纱；线；尤指）毛线|
yassy		|'=Iasi|
yate		n.|各种桉树|
yaud		n.|老而无用的(母)马|
yauld		adj.|活跃的|
yaup		n.|高声喊叫声|
yavis		n.|<美>年轻英俊、能说会道、 资质聪明、 事业发达的人|
yaw	/jR:; jR/	v.|指轮船或飞行器等）偏航；越出航线；参看|
yawey		adj.|雅司病的|
yawl	/jR:l; jRl/	n.|海|
yawn	/jR:n; jRn/	v.|打哈欠|
yawny		adj.|打呵欠的|
yawp		vi.|大声叫嚷|
yaws	/jR:z; jRz/	n.|雅司病|
yayoi		|<日>|
yazoo		n.|亚祖河(密西西比河支流之一)|
yb		n.|[化]镱|
ycl		|Young Communist League共产主义青年团|
yd		abbr.|量度单位|
ye	/ji:; ji/	pron.|人称代词；的；汝等；君等|
yea	/jeI; je/	adv.|参看|
yeah	/jeE; jZE/	adv.|的俗音）|
yean		v.|(绵羊或山羊)产小羊|
year	/jIE(r), also j\:(r); jIr/	n.|年；年份|
yearly		adj.|每年的|
yearn	/j\:n; j[n/	v.|渴望；怜悯；思念；留恋；盼望|
yearn for		v.|渴望|
yeast	/ji:st; jist/	n.|酵母；发酵物|
yech		int.|[表示拒绝或厌恶]哟|
yechy		adj.|<美俚>=yucky|
yegg		n.|抢劫金库者|
yeh		adv.|(=yes)是|
yeld		adj.|不育的|
yelk		n.|<古><方>蛋黄|
yell	/jel; jZl/	v.|号叫；喊叫；叫喊|
yellow	/5jelEU; jZlo/	adj.|黄（色）的；见；插图；常作轻蔑语；某些东亚民族）黄皮肤的|
yelp	/jelp; jZlp/	n.|因痛苦、 气愤、 兴奋等的）短而尖的叫声|
yemen		n.|也门(西南亚国家)|
yen	/jen; jZn/	n.|不变；圆（日本的货币单位）|
yenan		|见Yan`an|
yenbo		|延布[沙特阿拉伯西部港市]|
yenta		n.|搬弄是非的女人|
yeo		int.|'=yo|
yep		adv.|<俚>是|
yerba		n.|巴拉圭茶|
yes	/jes; jZs/	adv.|是；是的|
yesterday	/5jestEdI, -deI; jZstLdI, -9de/	adv.|在昨天；在昨日|
yesty		|yesterday|
yet	/jet; jZt/	adv.|还；然而|
yeti	/5jetI; jZtI/	n.|雪人（据报道生存在喜马拉雅山高处似人或似熊的巨大长毛动物）|
yetta		n.|耶特(f.)|
yeuk		|<苏格兰>|
