category	name	distance	original	sale	sold	badge	valid	package
美食	炙味炭火烤肉·观澜湖店	320	198	88	1264	今日神价	周末通用	双人烤肉套餐｜牛肋条+横膈膜+蔬菜拼盘
美食	苏小柳·观澜湖新城店	460	132	69	892	限时立减	免预约	双人点心套餐｜小笼+虾饺+糖粥+茶饮
电影	中影国际影城·观澜湖店	680	79	39	3461	爆款	有效至09-30	2D电影票1张｜特殊厅补差价
休闲	观澜湖温泉生活馆	760	169	99	728	午后特惠	工作日可用	浴资+汗蒸+水果饮品｜单人12小时
美食	湖畔精酿餐吧	890	238	118	536	新客专享	需预约	招牌汉堡双人餐｜薯条+鸡翅+精酿2杯
美食	山葵说·观澜湖新城店	1100	399	268	418	立省131元	晚市通用	单人放题｜刺身+寿喜锅+甜品畅吃
休闲	艺术村茶舍	1300	128	58	219	安静午茶	14:00前	双人茶歇｜正山小种+中式点心6枚
电影	橙天嘉禾影城·观澜湖店	1600	69	35	1876	随买随用	有效至10-15	2D电影票1张｜节假日通用
美食	潮上潮汕牛肉火锅·湖畔店	1800	260	139	967	家庭精选	全天通用	三人餐｜吊龙+匙仁+牛肉丸+蔬菜
休闲	欢乐汇KTV·观澜湖店	2100	258	108	654	夜场特价	22:00后	小包3小时｜含茶水小食
美食	椰小鸡·观澜湖新城店	2400	216	129	1430	人气榜第3	无需预约	双人椰子鸡｜原味锅+文昌鸡+腊味煲仔饭
电影	湖畔艺术影厅	2800	89	49	1122	艺术影厅	有效至09-20	电影兑换券1张｜含会员积分
