date	time	type	category	merchant	amount	items
08-02	12:18	外卖	轻食	湖畔轻食·观澜湖店	36.8	牛肉能量碗+气泡水
08-03	18:42	外卖	川湘菜	湘里乡亲·观澜湖店	48.5	小炒黄牛肉+米饭
08-04	08:35	外卖	咖啡	新城咖啡工坊	24.0	冰美式+可颂
08-05	21:26	外卖	烧烤	木屋烧烤·观澜湖店	67.9	羊肉串+烤茄子+啤酒
08-06	12:06	外卖	粉面	湖畔汤粉店	38.0	番茄肥牛汤粉
08-07	19:12	团购	火锅	潮上潮汕牛肉火锅·湖畔店	139.0	三人团购餐AA后
08-08	12:24	外卖	轻食	运动公社轻食站	45.0	鸡胸谷物碗
08-09	16:10	到店	咖啡	艺术村咖啡	32.0	桂花拿铁
08-10	22:18	外卖	甜品	湖畔糖水铺	29.8	杨枝甘露
08-11	12:14	外卖	川湘菜	费大厨·观澜湖新城店	52.0	辣椒炒肉单人餐
08-12	18:56	外卖	粉面	新城牛肉面馆	31.9	招牌牛肉面+小菜
08-13	08:48	外卖	咖啡	瑞幸咖啡·观澜湖店	18.9	生椰拿铁
08-14	12:31	外卖	轻食	湖畔轻食·观澜湖店	39.8	鸡腿能量碗
08-15	20:05	团购	日料	山葵说·观澜湖新城店	268.0	单人放题
08-16	13:20	外卖	粤菜	苏小柳·观澜湖新城店	42.0	小笼+虾饺+糖粥
08-17	22:42	外卖	烧烤	湖畔炭火烧烤	73.6	羊肉串+烤馒头
08-18	12:10	外卖	粉面	观澜小面馆	34.5	豌杂面+冰粉
08-19	18:38	外卖	川湘菜	湘里乡亲·观澜湖店	46.8	农家小炒肉+米饭
08-20	09:02	外卖	咖啡	新城咖啡工坊	20.0	热美式
08-21	12:28	外卖	轻食	运动公社轻食站	43.0	烟熏三文鱼沙拉
08-22	19:45	团购	烤肉	炙味炭火烤肉·观澜湖店	88.0	双人烤肉套餐AA后
08-23	23:08	外卖	甜品	观澜湖七分甜	22.0	芒果西米露
08-24	12:16	外卖	粤菜	太二酸菜鱼·观澜湖店	58.0	酸菜鱼单人餐
08-25	18:20	外卖	轻食	湖畔轻食·观澜湖店	37.8	照烧鸡肉碗
