id	title	author	body	note	yi
shuidiao	水调歌头	苏轼	明月几时有|把酒问青天|不知天上宫阙|今夕是何年|我欲乘风归去|又恐琼楼玉宇|高处不胜寒|起舞弄清影|何似在人间|转朱阁|低绮户|照无眠|不应有恨|何事长向别时圆|人有悲欢离合|月有阴晴圆缺|此事古难全|但愿人长久|千里共婵娟	中秋问月，把人间离合放到天上，最后用共看明月收住。	明月什么时候开始有，我端酒问青天。不知道天上宫阙，今夜又是哪一年。我想乘风回去，又怕琼楼玉宇太高，冷得受不住。起身对月起舞，清影随身，还是人间更好。月转过朱阁，低照绮户，照着睡不着的人。它不该有恨，却为何总在人离别时变圆？人有悲欢离合，月有阴晴圆缺，这件事从来就不能两全。只愿人长久，虽隔千里，也能共看这一轮月。
niannujiao	念奴娇·赤壁怀古	苏轼	大江东去|浪淘尽|千古风流人物|故垒西边|人道是|三国周郎赤壁|乱石穿空|惊涛拍岸|卷起千堆雪|江山如画|一时多少豪杰|遥想公瑾当年|小乔初嫁了|雄姿英发|羽扇纶巾|谈笑间|樯橹灰飞烟灭|故国神游|多情应笑我|早生华发|人生如梦|一尊还酹江月	江水淘尽人物，赤壁被写成怀古的舞台；周郎谈笑破敌之后，落到自己的华发和一杯酒。	大江向东流，浪花淘尽千古风流人物。那旧营垒的西边，人们说是周郎赤壁。乱石直插天空，惊涛拍打江岸，卷起千堆雪。江山像画一样，那时有多少豪杰。遥想公瑾当年，小乔刚嫁过来，他英姿勃发，羽扇纶巾，谈笑之间，敌船便化成灰烟。神游故地，该笑我太多情，头发早白了。人生如梦，还是洒一杯酒祭江月吧。
yulinling	雨霖铃	柳永	寒蝉凄切|对长亭晚|骤雨初歇|都门帐饮无绪|留恋处|兰舟催发|执手相看泪眼|竟无语凝噎|念去去|千里烟波|暮霭沉沉楚天阔|多情自古伤离别|更那堪|冷落清秋节|今宵酒醒何处|杨柳岸|晓风残月|此去经年|应是良辰好景虚设|便纵有千种风情|更与何人说	长亭、骤雨、帐饮之后，船催着走；下片把酒醒后的杨柳岸写成再也说不出口的离别。	寒蝉叫得很凄切。对着长亭的黄昏，急雨刚停。都门外设帐饯行，却没有心情。正恋恋不舍，船已在催着出发。握着手对看，眼里都是泪，竟说不出话来。想此去越走越远，千里烟波，暮霭沉沉，楚天空阔。多情的人自古就伤离别，更何况是冷清的清秋。今夜酒醒时人在何处？该是杨柳岸边，晓风残月。这一去怕要整年，良辰好景也都成虚设。就算有千种情意，又能对谁说。
shengshengman	声声慢	李清照	寻寻觅觅|冷冷清清|凄凄惨惨戚戚|乍暖还寒时候|最难将息|三杯两盏淡酒|怎敌他|晚来风急|雁过也|正伤心|却是旧时相识|满地黄花堆积|憔悴损|如今有谁堪摘|守着窗儿|独自怎生得黑|梧桐更兼细雨|到黄昏|点点滴滴|这次第|怎一个愁字了得	开头叠字先定调，雁、黄花、梧桐雨一层层加上去，最后说一个“愁”字不够。	四处寻觅，四周冷清，心里凄戚。天气乍暖还寒，最难将息。两三杯淡酒，怎敌得过晚上来得急的风。雁飞过去，正伤心时，却发现是旧时相识。满地菊花堆着，都已憔悴，如今还有谁堪摘。守着窗子，一个人怎么熬到天黑。梧桐又加上细雨，到黄昏还在点点滴滴。这光景，一个愁字怎么说得完。
zuihuayin	醉花阴	李清照	薄雾浓云愁永昼|瑞脑消金兽|佳节又重阳|玉枕纱厨|半夜凉初透|东篱把酒黄昏后|有暗香盈袖|莫道不销魂|帘卷西风|人比黄花瘦	重阳的酒和东篱，最后落到人比黄花瘦。	薄雾浓云让白日显得很长，香料在兽炉里慢慢烧掉。又到重阳，玉枕纱帐，半夜凉意才透进来。在东篱边，黄昏后举起酒，暗香装满了袖子。别说不销魂，西风卷起帘子，人比黄花还瘦。
pozenzi	破阵子	辛弃疾	醉里挑灯看剑|梦回吹角连营|八百里分麾下炙|五十弦翻塞外声|沙场秋点兵|马作的卢飞快|弓如霹雳弦惊|了却君王天下事|赢得生前身后名|可怜白发生	醉里看剑，梦里连营，点兵、快马、霹雳弓之后，醒来仍是白发。	醉里挑灯看剑，梦里又听见连营号角。部下分烤肉，琴瑟翻塞外的声响，秋日在沙场点兵。马像的卢一样飞快，弓弦响得像霹雳。本想了却君王收复天下的事，赢得生前身后的名声，可怜白发已经生出来了。
qingyuan	青玉案·元夕	辛弃疾	东风夜放花千树|更吹落|星如雨|宝马雕车香满路|凤箫声动|玉壶光转|一夜鱼龙舞|蛾儿雪柳黄金缕|笑语盈盈暗香去|众里寻他千百度|蓦然回首|那人却在|灯火阑珊处	元夕极热闹，最后却在灯火阑珊处找到人。	东风像把花吹上树，又吹落漫天星雨。宝马雕车带香走过路。凤箫响起来，玉壶般的灯转过光，一夜都是鱼龙舞。人人戴着蛾儿、雪柳、黄金缕，笑语盈盈，带着暗香走开。我在人群里找了他千百回，猛一回头，那人却在灯火稀的地方。
dingfengbo	定风波	苏轼	莫听穿林打叶声|何妨吟啸且徐行|竹杖芒鞋轻胜马|谁怕|一蓑烟雨任平生|料峭春风吹酒醒|微冷|山头斜照却相迎|回首向来萧瑟处|归去|也无风雨也无晴	雨打叶声不必管，竹杖芒鞋比马还轻；回头看，风雨和晴都不算一回事。	别去听雨打树叶的声音，不妨一边吟啸一边慢慢走。竹杖草鞋比马更轻，有什么可怕，一身蓑衣，烟雨里也能过完一生。料峭春风把酒吹醒，微微有些冷，山头的斜阳却迎了上来。回头看刚才萧瑟的地方，只管走回去，既没有风雨，也没有晴。
jiangchengzi	江城子·密州出猎	苏轼	老夫聊发少年狂|左牵黄|右擎苍|锦帽貂裘|千骑卷平冈|为报倾城随太守|亲射虎|看孙郎|酒酣胸胆尚开张|鬓微霜|又何妨|持节云中|何日遣冯唐|会挽雕弓如满月|西北望|射天狼	出猎写得张扬，为的是请朝廷给守边的任务。	老夫也来发一回少年狂，左手牵黄犬，右手托苍鹰。锦帽貂裘，千骑卷过平冈。为了报答满城人跟着太守，我要亲自射虎，比一比孙权。酒喝到酣处，胆气还正开张，鬓边有一点霜，又有什么关系。什么时候能像冯唐那样，持节去云中。我要拉开雕弓像满月，朝西北望，射那天狼。
huanxisha	浣溪沙	晏殊	一曲新词酒一杯|去年天气旧亭台|夕阳西下几时回|无可奈何花落去|似曾相识燕归来|小园香径独徘徊	酒、旧亭台和夕阳之后，落花与归燕把时间说成既重复又不可回。	填一曲新词，再饮一杯酒。天气和亭台都像去年。夕阳西下，什么时候再回来。花落下了，没有办法；燕子回来了，又像见过。我在小园香径上独自徘徊。
dielianhua	蝶恋花	柳永	伫倚危楼风细细|望极春愁|黯黯生天际|草色烟光残照里|无言谁会凭阑意|拟把疏狂图一醉|对酒当歌|强乐还无味|衣带渐宽终不悔|为伊消得人憔悴	危楼、春愁和残照之后，把望远写成排遣不了的思念，最后落到衣带渐宽。	靠在高楼上，风很细。望到尽头，春愁从天边暗暗生起。草色和烟光都在残照里。没有话说，谁会明白这凭栏的心意。打算疏狂一次，图个一醉，对着酒唱歌，勉强作乐还是没味道。衣带渐渐宽了也不后悔，为了她，人憔悴也值得。
yujiaao	渔家傲	范仲淹	塞下秋来风景异|衡阳雁去无留意|四面边声连角起|千嶂里|长烟落日孤城闭|浊酒一杯家万里|燕然未勒归无计|羌管悠悠霜满地|人不寐|将军白发征夫泪	塞下秋景先写雁，再写边声和孤城，下片把未勒燕然和白发、征泪放在一起。	塞下入秋风景已变，雁向衡阳飞去，没有留恋。四面边声连着号角响起。层层山嶂里，长烟、落日，孤城已经关闭。一杯浊酒，家在万里外。燕然山上还没刻下功名，回家也没有打算。羌管悠悠，霜铺满地。人睡不着，将军的白发，征人的泪。
ruyijia	如梦令	李清照	常记溪亭日暮|沉醉不知归路|兴尽晚回舟|误入藕花深处|争渡|争渡|惊起一滩鸥鹭	日暮醉归，误入藕花，是记忆里的一次迷路。	常记得溪亭的黄昏，喝得不知归路。兴尽后才回船，却划进藕花深处。抢着把船划出去，抢着把船划出去，惊起了一滩鸥鹭。
shaonianyou	少年游	周邦彦	并刀如水|吴盐胜雪|纤手破新橙|锦幄初温|兽烟不断|相对坐调笙|低声问|向谁行宿|城上已三更|马滑霜浓|不如休去|直是少人行	室内的刀、盐、橙和暖帐，把冬天写成亲近；最后用霜浓路滑把人留住。	并州刀亮得像水，吴盐白得胜雪。纤手剖开新橙，锦帐里刚刚回暖，兽炉的烟不断，两人对坐着调笙。低声问：今晚到谁那里住？城上已经三更了。马易滑，完全是霜，不如别走了，路上实在少有人行。
