id	title	author	body	note	yi
jingyesi	静夜思	李白	床前明月光|疑是地上霜|举头望明月|低头思故乡	短章写望月思乡。前两句是看见，后两句是动作。	床前一片月光，像地上的霜。抬头看月，低头想家。
chunxiao	春晓	孟浩然	春眠不觉晓|处处闻啼鸟|夜来风雨声|花落知多少	先写春睡，再写风雨落花，声音比景象先到。	春夜睡得很沉，醒来处处是鸟鸣。昨夜风雨过后，不知落了多少花。
dengguanquelou	登鹳雀楼	王之涣	白日依山尽|黄河入海流|欲穷千里目|更上一层楼	前两句写眼前河山，后两句把登高变成志向。	夕阳沿着山落下，黄河向海奔去。想看更远，就要再上一层。
liangzhouci	凉州词	王翰	葡萄美酒夜光杯|欲饮琵琶马上催|醉卧沙场君莫笑|古来征战几人回	酒宴被催征打断，豪放里有悲凉。	葡萄美酒盛在夜光杯里，才要喝，马上琵琶已在催行。醉卧沙场不必笑，打仗回来的人从来就少。
chusai	出塞	王昌龄	秦时明月汉时关|万里长征人未还|但使龙城飞将在|不教胡马度阴山	明月和关城跨越秦汉，借飞将军说守边。	还是秦汉时的明月和关城，出征的人却长久未归。若有飞将军在，胡马就过不了阴山。
furonglou	芙蓉楼送辛渐	王昌龄	寒雨连江夜入吴|平明送客楚山孤|洛阳亲友如相问|一片冰心在玉壶	后两句以冰心自明，是送别里的自持。	寒雨连江，夜里进入吴地。天亮送客，楚山显得更孤。洛阳亲友若问起我，就说这颗心仍清。
songyuaner	送元二使安西	王维	渭城朝雨浥轻尘|客舍青青柳色新|劝君更尽一杯酒|西出阳关无故人	朝雨、客舍、杨柳之后，只剩一杯酒和阳关。	渭城晨雨沾湿薄尘，客舍和柳都显得新。请再喝一杯，出了阳关就没有故人了。
huanghelou_meng	黄鹤楼送孟浩然之广陵	李白	故人西辞黄鹤楼|烟花三月下扬州|孤帆远影碧空尽|唯见长江天际流	帆影消失后，江水还在，送别被拉得很长。	故人从黄鹤楼去扬州，正是烟花三月。孤帆消失在天边，只剩长江流向天际。
wanglushan	望庐山瀑布	李白	日照香炉生紫烟|遥看瀑布挂前川|飞流直下三千尺|疑是银河落九天	先写香炉峰，再把瀑布写成天上的河。	阳光下香炉峰升起紫烟，远处瀑布像挂在山前。水飞流直下，像银河从天上落下。
zaofabaidi	早发白帝城	李白	朝辞白帝彩云间|千里江陵一日还|两岸猿声啼不住|轻舟已过万重山	船快得只留下猿声，是遇赦后的轻快。	清晨离开彩云间的白帝城，一天就能回到江陵。两岸猿啼还没停，轻舟已过万重山。
zengwanglin	赠汪伦	李白	李白乘舟将欲行|忽闻岸上踏歌声|桃花潭水深千尺|不及汪伦送我情	潭水深，仍比不上送别的情意。	我正要乘船离开，岸上忽然传来踏歌。桃花潭即使深千尺，也比不上汪伦来送我。
huanghelou	黄鹤楼	崔颢	昔人已乘黄鹤去|此地空余黄鹤楼|黄鹤一去不复返|白云千载空悠悠|晴川历历汉阳树|芳草萋萋鹦鹉洲|日暮乡关何处是|烟波江上使人愁	楼还在，人与鹤都不在；后半从对岸草木落到乡愁。	传说中的人已乘黄鹤离去，这里只剩下黄鹤楼。黄鹤不再回来，白云年年空自飘。晴川上汉阳的树还清晰，鹦鹉洲的草正茂盛。日暮时故乡在哪里，江上烟波让人发愁。
denggao	登高	杜甫	风急天高猿啸哀|渚清沙白鸟飞回|无边落木萧萧下|不尽长江滚滚来|万里悲秋常作客|百年多病独登台|艰难苦恨繁霜鬓|潦倒新停浊酒杯	秋风、落木和江水同时压来，后半收束到多病、白发和停酒。	风急天高，猿声发哀。沙洲清白，鸟在回飞。落叶无边，长江也不停。漂泊万里，又赶上悲秋；年老多病，独自登台。世事艰难，鬓发已白，穷困里连浊酒也刚停了。
chunwang	春望	杜甫	国破山河在|城春草木深|感时花溅泪|恨别鸟惊心|烽火连三月|家书抵万金|白头搔更短|浑欲不胜簪	国破之后，春天反而更刺眼；家书和白发把忧患落到自己身上。	国家残破，山河还在。春城草木很深。感时看花也落泪，恨别听鸟也心惊。战火持续了很久，一封家书贵过万金。白发越搔越短，几乎插不住簪子。
qiantang	钱塘湖春行	白居易	孤山寺北贾亭西|水面初平云脚低|几处早莺争暖树|谁家新燕啄春泥|乱花渐欲迷人眼|浅草才能没马蹄|最爱湖东行不足|绿杨阴里白沙堤	早莺、新燕、乱花和浅草都是初春，最后把脚步停在白沙堤。	从孤山寺北走到贾亭西，湖水初平，云也低。几处早莺抢着暖树，谁家新燕在衔春泥。花渐渐要迷眼，浅草刚能没过马蹄。最爱湖东，总也走不够，绿杨阴里是白沙堤。
chibi	赤壁	杜牧	折戟沉沙铁未销|自将磨洗认前朝|东风不与周郎便|铜雀春深锁二乔	由一支折戟想到赤壁，假设改写胜负。	折断的戟埋在沙里还没销尽，磨洗之后认出是前朝之物。若东风不帮周郎，二乔大概要被锁进铜雀台。
boqinhuai	泊秦淮	杜牧	烟笼寒水月笼沙|夜泊秦淮近酒家|商女不知亡国恨|隔江犹唱后庭花	夜泊听曲，把亡国之恨放在隔江的歌声里。	烟笼着冷水，月笼着沙。夜船停在秦淮靠近酒家。商女还在唱后庭花，像不知亡国的恨。
yeyujibei	夜雨寄北	李商隐	君问归期未有期|巴山夜雨涨秋池|何当共剪西窗烛|却话巴山夜雨时	现在的夜雨，被想象成将来窗下的回忆。	你问归期，我还说不准。巴山夜雨正涨满秋池。什么时候才能一起剪窗烛，再谈今夜这场雨。
jinse	锦瑟	李商隐	锦瑟无端五十弦|一弦一柱思华年|庄生晓梦迷蝴蝶|望帝春心托杜鹃|沧海月明珠有泪|蓝田日暖玉生烟|此情可待成追忆|只是当时已惘然	以锦瑟起兴，华年变成梦、杜鹃、沧海珠泪和蓝田玉烟，最后说当时已惘然。	锦瑟平白有五十弦，一弦一柱都想起过往。像庄生梦蝶，又像望帝把春心托给杜鹃。沧海月下珠像有泪，蓝田日暖玉生出烟。这情谊岂待日后追忆，只是当时已经惘然。
wuti	无题	李商隐	相见时难别亦难|东风无力百花残|春蚕到死丝方尽|蜡炬成灰泪始干|晓镜但愁云鬓改|夜吟应觉月光寒|蓬山此去无多路|青鸟殷勤为探看	相见难，离别更难；后半从鬓发、月色转到青鸟探问。	见面不容易，分别也不容易。东风无力，花已残。春蚕到死丝才尽，蜡烛成灰泪才干。晨镜只愁鬓发改了，夜吟该觉得月光也冷。蓬山离这里并不远，让青鸟殷勤去探望。
guoren	过故人庄	孟浩然	故人具鸡黍|邀我至田家|绿树村边合|青山郭外斜|开轩面场圃|把酒话桑麻|待到重阳日|还来就菊花	田家招待很朴素，绿树青山把村庄围住，最后约在重阳再来。	故人准备了鸡黍，请我到田家。绿树围着村子，青山在城外斜着。打开窗子对着场圃，喝酒谈农事。等到重阳，还来就着菊花再聚。
youziyin	游子吟	孟郊	慈母手中线|游子身上衣|临行密密缝|意恐迟迟归|谁言寸草心|报得三春晖	线、衣、密缝，都是怕归期太晚；最后用春晖收住。	母亲手里的线，缝成游子身上的衣。临走前针脚很密，是怕孩子迟迟不回。谁说小草这一点心意，能报答得了春天的阳光。
shangshan	商山早行	温庭筠	晨起动征铎|客行悲故乡|鸡声茅店月|人迹板桥霜|槲叶落山路|枳花明驿墙|因思杜陵梦|凫雁满回塘	鸡声、茅店、月、板桥霜，早行被压成六个字；后半用杜陵一梦把客思说完。	清早起来车铃已响，客路上更想故乡。鸡鸣对着茅店的月，脚印留在板桥的霜上。槲叶落在山路，枳花照亮驿墙。于是想起杜陵的梦，凫雁正铺满回塘。
jiangxue	江雪	柳宗元	千山鸟飞绝|万径人踪灭|孤舟蓑笠翁|独钓寒江雪	山空了，路空了，只剩一个人在钓雪。	千山没有鸟，万径没有人。孤舟上一个披蓑戴笠的老翁，独自在寒江钓雪。
shizhisai	使至塞上	王维	单车欲问边|属国过居延|征蓬出汉塞|归雁入胡天|大漠孤烟直|长河落日圆|萧关逢候骑|都护在燕然	前半写出使路上的漂泊，颈联把大漠和长河写成两条线，最后落到都护所在。	乘着单车去慰问边塞，经过属国到了居延。像飞蓬出了汉塞，像归雁进入胡天。大漠上孤烟竖直，长河里落日正圆。在萧关遇到侦骑，都护已在燕然。
