id	title	author	body	note	yi
quanxue	劝学	荀子	君子曰|学不可以已|青|取之于蓝|而青于蓝|冰|水为之|而寒于水|木直中绳|輮以为轮|其曲中规|虽有槁暴|不复挺者|輮使之然也|故木受绳则直|金就砺则利|君子博学而日参省乎己|则知明而行无过矣|吾尝终日而思矣|不如须臾之所学也|吾尝跂而望矣|不如登高之博见也|登高而招|臂非加长也|而见者远|顺风而呼|声非加疾也|而闻者彰|假舆马者|非利足也|而致千里|假舟楫者|非能水也|而绝江河|君子生非异也|善假于物也|积土成山|风雨兴焉|积水成渊|蛟龙生焉|积善成德|而神明自得|圣心备焉|故不积跬步|无以至千里|不积小流|无以成江海|骐骥一跃|不能十步|驽马十驾|功在不舍|锲而舍之|朽木不折|锲而不舍|金石可镂|蚓无爪牙之利|筋骨之强|上食埃土|下饮黄泉|用心一也|蟹六跪而二螯|非蛇鳝之穴无可寄托者|用心躁也	开篇先立“学不可以已”，再用青、冰、輮木和假物作比，后半把功夫收到积少成多、用心专一。	君子说，学习不能停止。青从蓝草来，却比蓝更深；冰由水成，却比水更寒。木头本来直得合乎墨线，用火熨弯做成轮，弧度合于圆规，即使再干枯，也不会再挺直，是火熨使它这样。所以木头经墨线就能直，金属上磨石就锋利。君子广博学习，每天对照反省自己，就会智慧明、行为没有过错。我曾经整天思索，不如片刻学习；曾经踮脚远望，不如登上高处看得广。登高招手，手臂并没有加长，人却在远处也能看见；顺风呼喊，声音并没有加快，听的人却更清楚。借助车马的人，不是脚更快，却能到达千里；借助舟船的人，不是善于游泳，却能横渡江河。君子的本性并没有不同，只是善于借助外物。土堆成山，风雨就会兴起；水积成渊，蛟龙就会生长；善行积累成德，神明自得，圣心也就具备了。所以不积累半步，就不能走到千里；不积累小溪，就不能汇成江海。良马跳一下，到不了十步；劣马走十天，成功在于不停。雕刻时停下来，朽木也折不断；不停地刻，金石也能雕空。蚯蚓没有锋利的爪牙和强健的筋骨，却能上吃泥土、下饮泉水，是用心专一。螃蟹有六条腿、两只螯，除了蛇鳝的洞穴就无处安身，是用心浮躁。
shishuo	师说	韩愈	古之学者必有师|师者|所以传道受业解惑也|人非生而知之者|孰能无惑|惑而不从师|其为惑也|终不解矣|生乎吾前|其闻道也固先乎吾|吾从而师之|生乎吾后|其闻道也亦先乎吾|吾从而师之|吾师道也|夫庸知其年之先后生于吾乎|是故无贵无贱|无长无少|道之所存|师之所存也|嗟乎|师道之不传也久矣|欲人之无惑也难矣|古之圣人|其出人也远矣|犹且从师而问焉|今之众人|其下圣人也亦远矣|而耻学于师|是故圣益圣|愚益愚|圣人之所以为圣|愚人之所以为愚|其皆出于此乎|爱其子|择师而教之|于其身也|则耻师焉|惑矣|彼童子之师|授之书而习其句读者|非吾所谓传其道解其惑者也|句读之不知|惑之不解|或师焉|或不焉|小学而大遗|吾未见其明也|巫医乐师百工之人|不耻相师|士大夫之族|曰师曰弟子云者|则群聚而笑之|问之|则曰|彼与彼年相若也|道相似也|位卑则足羞|官盛则近谀|呜呼|师道之不复|可知矣|巫医乐师百工之人|君子不齿|今其智乃反不能及|其可怪也欤|圣人无常师|孔子师郯子苌弘师襄老聃|郯子之徒|其贤不及孔子|孔子曰|三人行|则必有我师|是故弟子不必不如师|师不必贤于弟子|闻道有先后|术业有专攻|如是而已|李氏子蟠|年十七|好古文|六艺经传皆通习之|不拘于时|学于余|余嘉其能行古道|作师说以贻之	先定义老师，再说明人必须从师；后面用圣人、童子和百工作对比，收到闻道有先后。	古代求学的人一定有老师。老师是来传道、授业、解惑的。人不是生下来就什么都懂，谁能没有疑惑？有惑却不跟从老师，那疑惑就始终解不开。出生比我早的人，懂得道理本来比我早，我跟从他学习；出生比我晚的人，懂得道理若也比我早，我同样跟从他。我学的是道理，哪管他生得比我早还是晚？所以不论贵贱长少，道理在哪里，老师就在哪里。可叹从师的风尚失传很久了，想要人没有疑惑也难。古代圣人超出一般人很远，尚且从师请教；现在的众人比圣人差得很远，却以从师为耻。所以圣人更圣，愚人更愚。圣人所以成为圣人，愚人所以成为愚人，大概都出于此吧。爱自己的孩子，就选老师来教；轮到自己，却以从师为耻，糊涂了。那些教孩子认字断句的老师，并不是我所说传道解惑的人。句读不知道，倒去从师；大的疑惑不解，却不从师。小的学了，大的丢了，我看不出这有什么明智。巫医、乐师和各种工匠不以互相学习为耻；士大夫一提到老师、弟子，就聚在一起嘲笑。问他们，就说两人年纪差不多，学问也差不多；向地位低的人学就觉得羞耻，向官大的人学又觉得近于谄媚。唉，从师的风尚无法恢复，由此可知了。巫医乐师百工，君子不屑与他们并列，现在才智反而不如他们，这不是很可怪吗？圣人没有固定的老师。孔子曾向郯子、苌弘、师襄、老聃学习，这些人的贤能比不上孔子。孔子说，三个人同行，其中一定有可以做我老师的。所以学生不一定不如老师，老师不一定比学生贤，只是懂得道理有先有后，学业各有专长，如此而已。李家的孩子蟠，十七岁，喜好古文，六艺经传都学过了，不受时俗拘束，来向我学习。我赞许他能实行古人从师的道理，写了这篇《师说》送给他。
loushiming	陋室铭	刘禹锡	山不在高|有仙则名|水不在深|有龙则灵|斯是陋室|惟吾德馨|苔痕上阶绿|草色入帘青|谈笑有鸿儒|往来无白丁|可以调素琴|阅金经|无丝竹之乱耳|无案牍之劳形|南阳诸葛庐|西蜀子云亭|孔子云|何陋之有	陋室不因小而陋，因为住的人有德；中间写苔草、往来和日常，最后用孔子的话收住。	山不在高，有仙就有名。水不在深，有龙就有灵。这间屋子虽陋，我的德行让它馨香。苔痕绿上了台阶，草色青进了帘子。谈笑的是博学的人，来往的没有无学问的人。可以弹素琴，读佛经。没有嘈杂的管弦搅耳，也没有公文劳累身体。它像南阳诸葛亮的草庐，也像西蜀扬雄的亭子。孔子说：有什么简陋的呢？
ailianshuo	爱莲说	周敦颐	水陆草木之花|可爱者甚蕃|晋陶渊明独爱菊|自李唐来|世人盛爱牡丹|予独爱莲之出淤泥而不染|濯清涟而不妖|中通外直|不蔓不枝|香远益清|亭亭净植|可远观而不可亵玩焉|予谓菊|花之隐逸者也|牡丹|花之富贵者也|莲|花之君子者也|噫|菊之爱|陶后鲜有闻|莲之爱|同予者何人|牡丹之爱|宜乎众矣	先说众人爱菊爱牡丹，再把自己的爱落到莲，最后用三种花比三种人。	水上陆上可爱的花很多。陶渊明独爱菊，唐朝以来世人又很爱牡丹。我单单爱莲从淤泥里长出却不沾染，在清水里洗过却不妖艳，中间通、外面直，不蔓不枝，香气传得越远越清，洁净地立着，可以远远看，不能轻慢地玩弄。我认为菊是花中的隐士，牡丹是花中的富贵者，莲是花中的君子。唉，爱菊的人，陶渊明之后就很少听说；爱莲的人，和我一样的有谁呢？爱牡丹的人，当然很多了。
yueyang	岳阳楼记	范仲淹	庆历四年春|滕子京谪守巴陵郡|越明年|政通人和|百废具兴|乃重修岳阳楼|增其旧制|刻唐贤今人诗赋于其上|属予作文以记之|予观夫巴陵胜状|在洞庭一湖|衔远山|吞长江|浩浩汤汤|横无际涯|朝晖夕阴|气象万千|此则岳阳楼之大观也|前人之述备矣|然则北通巫峡|南极潇湘|迁客骚人|多会于此|览物之情|得无异乎|若夫淫雨霏霏|连月不开|阴风怒号|浊浪排空|日星隐曜|山岳潜形|商旅不行|樯倾楫摧|薄暮冥冥|虎啸猿啼|登斯楼也|则有去国怀乡|忧谗畏讥|满目萧然|感极而悲者矣|至若春和景明|波澜不惊|上下天光|一碧万顷|沙鸥翔集|锦鳞游泳|岸芷汀兰|郁郁青青|而或长烟一空|皓月千里|浮光跃金|静影沉璧|渔歌互答|此乐何极|登斯楼也|则有心旷神怡|宠辱偕忘|把酒临风|其喜洋洋者矣|嗟夫|予尝求古仁人之心|或异二者之为|何哉|不以物喜|不以己悲|居庙堂之高则忧其民|处江湖之远则忧其君|是进亦忧|退亦忧|然则何时而乐耶|其必曰|先天下之忧而忧|后天下之乐而乐乎|噫|微斯人|吾谁与归	先交代作记缘由和洞庭大观，再写迁客的悲喜两种心情，最后收到先忧后乐。	庆历四年春，滕子京被贬到巴陵。第二年政事顺利，百姓和乐，各种荒废的事都兴办起来，于是重修岳阳楼，扩大旧有的规模，把唐代和今人的诗赋刻在上面，嘱我写文章记下这件事。我看巴陵的胜景，全在洞庭这一湖。它含着远山，吞下长江，水势浩大，宽得看不见边，早晨晴明、傍晚阴晦，气象变化万千。这就是岳阳楼的大观，前人已经写全了。可是它北通巫峡，南到潇湘，被贬的人和诗人多在这里聚会，看了景物的心情，能够没有不同吗？若是连月阴雨，阴风怒号，浊浪冲上天空，日星隐藏，山岳看不见，商旅无法通行，桅杆倒了、船桨断了，傍晚一片昏暗，虎在啸、猿在啼，这时登上这座楼，就会离开国都、怀念家乡，担心谗言、害怕讥讽，满眼萧然，感伤到极点而悲伤。到了春气和暖、景色明丽，波浪不兴，上下的天光一片碧绿，沙鸥时飞时停，鱼在游，岸上的芷和洲上的兰青得浓郁；或者大雾散尽，明月照了千里，浮动的光像金子在跳，静静的月影像沉下的璧，渔歌互相应答，这快乐哪有尽头。这时登上这座楼，就会心胸开阔、精神愉快，荣耀和屈辱都忘了，临风举起酒，喜气洋洋。唉，我曾经探求古代仁人的心，或许和这两种表现不同，为什么呢？他们不因外物而喜，也不因自己而悲。在朝廷就忧百姓，在江湖就忧国君。进也忧，退也忧，那么什么时候才乐呢？他们一定会说：在天下人忧之前先忧，在天下人乐之后才乐。唉，没有这样的人，我能和谁同道呢？
zuiweng	醉翁亭记	欧阳修	环滁皆山也|其西南诸峰|林壑尤美|望之蔚然而深秀者|琅琊也|山行六七里|渐闻水声潺潺|而泻出于两峰之间者|酿泉也|峰回路转|有亭翼然临于泉上者|醉翁亭也|作亭者谁|山之僧智仙也|名之者谁|太守自谓也|太守与客来饮于此|饮少辄醉|而年又最高|故自号曰醉翁也|醉翁之意不在酒|在乎山水之间也|山水之乐|得之心而寓之酒也|若夫日出而林霏开|云归而岩穴暝|晦明变化者|山间之朝暮也|野芳发而幽香|佳木秀而繁阴|风霜高洁|水落而石出者|山间之四时也|朝而往|暮而归|四时之景不同|而乐亦无穷也|至于负者歌于途|行者休于树|前者呼|后者应|伛偻提携|往来而不绝者|滁人游也|临溪而渔|溪深而鱼肥|酿泉为酒|泉香而酒洌|山肴野蔌|杂然而前陈者|太守宴也|宴酣之乐|非丝非竹|射者中|弈者胜|觥筹交错|起坐而喧哗者|众宾欢也|苍颜白发|颓然乎其间者|太守醉也|已而夕阳在山|人影散乱|太守归而宾客从也|树林阴翳|鸣声上下|游人去而禽鸟乐也|然而禽鸟知山林之乐|而不知人之乐|人知从太守游而乐|而不知太守之乐其乐也|醉能同其乐|醒能述以文者|太守也|太守谓谁|庐陵欧阳修也	第一句先把滁州写成山城，再把视线收到亭上；后面写朝暮四时和滁人、宾客、太守之乐，最后点出作记的人。	滁州四周都是山。西南几座峰的林壑特别美，望过去茂盛而深秀的，是琅琊山。在山里走六七里，渐渐听见水声潺潺，从两峰之间泻下来的，是酿泉。山路回转，有一座亭子像翅膀一样临在泉上，就是醉翁亭。建亭的是山僧智仙，命名的是太守自己。太守和客人来这里喝酒，喝得少就醉，年纪又最大，所以自称醉翁。醉翁的心意不在酒，而在山水之间。山水的快乐，得之于心，寄托在酒里。太阳出来，林中的雾散开；云回来，岩穴就暗了，这明暗的变化，是山间的朝暮。野花开出幽香，好树木叶繁茂成阴，风霜洁净，水落石出，是山间的四季。早晨去，傍晚回，四季景物不同，快乐也没有穷尽。至于背着东西的人在路上唱，走路的人在树下歇，前面呼、后面应，老人小孩来往不断的，是滁州人出游。到溪边打鱼，溪深鱼肥；用酿泉做酒，泉香酒清；山里的菜蔬错杂摆在面前，是太守的宴席。宴饮酣畅的快乐，不靠丝竹：投壶的投中了，下棋的赢了，酒杯和筹码交错，有人站起有人坐下，大声喧哗，是宾客在欢。脸色苍老、头发花白、颓然坐在他们中间的，是太守醉了。不久还是夕阳在山，人影散乱，太守回去，宾客跟着。树林阴暗，鸟鸣上下，游人离开，禽鸟才快乐。可是禽鸟知道山林的快乐，不知道人的快乐；人知道跟着太守游玩而快乐，不知道太守是因他们快乐而快乐。醉了能和大家同乐，醒了能写成文章的，是太守。太守是谁？是庐陵的欧阳修。
chushibiao	出师表	诸葛亮	先帝创业未半而中道崩殂|今天下三分|益州疲弊|此诚危急存亡之秋也|然侍卫之臣不懈于内|忠志之士忘身于外者|盖追先帝之殊遇|欲报之于陛下也|诚宜开张圣听|以光先帝遗德|恢弘志士之气|不宜妄自菲薄|引喻失义|以塞忠谏之路也|宫中府中|俱为一体|陟罚臧否|不宜异同|若有作奸犯科及为忠善者|宜付有司论其刑赏|以昭陛下平明之理|不宜偏私|使内外异法也|侍中侍郎郭攸之费祎董允等|此皆良实|志虑忠纯|是以先帝简拔以遗陛下|愚以为宫中之事|事无大小|悉以咨之|然后施行|必能裨补阙漏|有所广益|将军向宠|性行淑均|晓畅军事|试用于昔日|先帝称之曰能|是以众议举宠为督|愚以为营中之事|悉以咨之|必能使行阵和睦|优劣得所|亲贤臣|远小人|此先汉所以兴隆也|亲小人|远贤臣|此后汉所以倾颓也|先帝在时|每与臣论此事|未尝不叹息痛恨于桓灵也|侍中尚书长史参军|此悉贞良死节之臣|愿陛下亲之信之|则汉室之隆|可计日而待也|臣本布衣|躬耕于南阳|苟全性命于乱世|不求闻达于诸侯|先帝不以臣卑鄙|猥自枉屈|三顾臣于草庐之中|咨臣以当世之事|由是感激|遂许先帝以驱驰|后值倾覆|受任于败军之际|奉命于危难之间|尔来二十有一年矣|先帝知臣谨慎|故临崩寄臣以大事也|受命以来|夙夜忧叹|恐托付不效|以伤先帝之明|故五月渡泸|深入不毛|今南方已定|兵甲已足|当奖率三军|北定中原|庶竭驽钝|攘除奸凶|兴复汉室|还于旧都|此臣所以报先帝而忠陛下之职分也|至于斟酌损益|进尽忠言|则攸之祎允之任也|愿陛下托臣以讨贼兴复之效|不效|则治臣之罪|以告先帝之灵|若无兴德之言|则责攸之祎允等之慢|以彰其咎|陛下亦宜自谋|以咨诹善道|察纳雅言|深追先帝遗诏|臣不胜受恩感激|今当远离|临表涕零|不知所言	开篇先报忧，接着劝开张圣听、赏罚一体、亲贤远佞，再叙三顾与托付，最后把出师写成职分。	先帝创业还没到一半就中途去世。现在天下分成三部分，益州疲敝，正是危急存亡的时候。宫廷里的侍卫不肯懈怠，外面的忠志之士不顾自身，都是追念先帝的厚遇，想向陛下报答。实在应该广开言路，发扬先帝留下的德行，振奋志士的气，不应该看轻自己，言辞失当，堵塞忠谏的路。宫中和丞相府是一个整体，升降赏罚，不该有两套标准。如果有做奸邪犯法的，或忠善的，都应交主管部门论刑赏，以显示陛下公平严明，不该偏私，让宫内宫外法令不同。侍中侍郎郭攸之、费祎、董允等，都善良诚实，心思忠纯，所以先帝选拔留下来给陛下。我认为宫中的事，不论大小，都先问他们，然后施行，一定能补上缺漏，得到更多益处。将军向宠，品行平和公正，通晓军事，从前试用时，先帝称他能干，所以大家公举他做中部督。我认为营中的事都先问他，一定能使队伍和睦，好坏各得其所。亲近贤臣、疏远小人，是前汉所以兴盛的原因；亲近小人、疏远贤臣，是后汉所以衰败的原因。先帝在世时，每和我谈起这些，没有一次不对桓、灵二帝叹息痛恨。侍中、尚书、长史、参军，这些都是坚贞可靠、能以死守节的臣子，希望陛下亲近他们、信任他们，那么汉室的兴隆，可以数着日子等到。我本来是平民，在南阳亲自耕种，只想在乱世保全性命，不求在诸侯间扬名。先帝不嫌我身份低微，降低身份，三次到草庐看我，问我当代的事。我因此感激，便答应为先帝奔走。后来遭遇溃败，在败军的时候接受任命，在危难中奉命出使，到现在已经二十一年了。先帝知道我谨慎，所以临终把大事托付给我。接受任命以来，日夜忧叹，怕托付没有成效，损伤先帝的明察，所以五月渡过泸水，深入不长庄稼的地方。现在南方已经平定，兵器盔甲充足，应当激励率领三军，北上平定中原，但愿用尽我平庸的才能，铲除奸凶，兴复汉室，回到旧都。这是我用来报答先帝、尽忠陛下的职分。至于权衡利弊、尽量进忠言，那是郭攸之、费祎、董允的责任。希望陛下把讨贼兴复的成效托付给我；没有成效，就治我的罪，祭告先帝在天之灵。如果没有振兴德行的言论，就责备郭攸之、费祎、董允等人的怠慢，显明他们的过失。陛下自己也应当谋划，征求好的道理，识别采纳正确的话，深切追念先帝的遗诏。我受恩感激不尽。现在就要远离，对着这份表泪落下来，不知道说了些什么。
taohua	桃花源记	陶渊明	晋太元中|武陵人捕鱼为业|缘溪行|忘路之远近|忽逢桃花林|夹岸数百步|中无杂树|芳草鲜美|落英缤纷|渔人甚异之|复前行|欲穷其林|林尽水源|便得一山|山有小口|仿佛若有光|便舍船|从口入|初极狭|才通人|复行数十步|豁然开朗|土地平旷|屋舍俨然|有良田美池桑竹之属|阡陌交通|鸡犬相闻|其中往来种作|男女衣着|悉如外人|黄发垂髫|并怡然自乐|见渔人|乃大惊|问所从来|具答之|便要还家|设酒杀鸡作食|村中闻有此人|咸来问讯|自云先世避秦时乱|率妻子邑人来此绝境|不复出焉|遂与外人间隔|问今是何世|乃不知有汉|无论魏晋|此人一一为具言所闻|皆叹惋|余人各复延至其家|皆出酒食|停数日|辞去|此中人语云|不足为外人道也|既出|得其船|便扶向路|处处志之|及郡下|诣太守|说如此|太守即遣人随其往|寻向所志|遂迷|不复得路|南阳刘子骥|高尚士也|闻之|欣然规往|未果|寻病终|后遂无问津者	渔人沿溪迷路，才看见桃花林；进去是一个与世隔绝的村子，出来后再也找不到。	晋朝太元年间，有个武陵渔人沿着溪走，忘了走了多远，忽然遇到一片桃花林。两岸几百步，中间没有杂树，芳草鲜美，落花纷纷。渔人很惊异，再往前走，想走完这片林。林尽处就是水源，便看见一座山，山上有个小口，隐约像有光。他就丢下船，从口进去。起初很窄，仅能通过一个人，再走几十步，忽然开阔了。土地平坦宽广，房屋整齐，有良田、美池、桑竹一类，田间小路交错相通，鸡狗的叫声彼此听得见。里面来往种作的人，男女衣服都和外面人一样，老人小孩都安适快乐。他们看见渔人，大吃一惊，问从哪里来。渔人一一回答，就被邀请回家，摆酒杀鸡做饭。村里听说有这样一个人，都来打听。他们自己说，祖先为躲避秦时的战乱，带着妻子乡邻来到这与世隔绝的地方，不再出去，于是和外面的人隔开了。问现在是什么朝代，竟然不知道有过汉朝，更不必说魏晋。渔人把知道的一一讲给他们，他们都感叹惋惜。其余的人又各自请他到家里，都拿出酒饭。住了几天，告辞离开。村里人告诉他：不必对外面的人说。出来后找到船，就沿着来时的路，处处做了标记。到了郡城，去见太守，说了这些。太守立刻派人跟着他去，寻找先前所做的标记，却迷失了，再也找不到路。南阳刘子骥是高尚的士人，听见这事，高兴地计划前往，没有成行，不久病死。此后就再也没有问路探访的人了。
xiaoshitan	小石潭记	柳宗元	从小丘西行百二十步|隔篁竹|闻水声|如鸣珮环|心乐之|伐竹取道|下见小潭|水尤清冽|全石以为底|近岸|卷石底以出|为坻|为屿|为嵁|为岩|青树翠蔓|蒙络摇缀|参差披拂|潭中鱼可百许头|皆若空游无所依|日光下澈|影布石上|佁然不动|俶尔远逝|往来翕忽|似与游者相乐|潭西南而望|斗折蛇行|明灭可见|其岸势犬牙差互|不可知其源|坐潭上|四面竹树环合|寂寥无人|凄神寒骨|悄怆幽邃|以其境过清|不可久居|乃记之而去|同游者|吴武陵|龚古|余弟宗玄|隶而从者|崔氏二小生|曰恕己|曰奉壹	先闻水声，再看见潭；鱼像在空中游，坐得太久又觉得清得发寒，于是记下就离开。	从小丘往西走一百二十步，隔着竹林听见水声，像佩玉相击，心里高兴起来。砍开竹子开路，往下看见一个小潭，水特别清冷。整块石头做底，靠近岸边，石底翻卷露出水面，成为坻、屿、嵁、岩。青树和翠蔓覆盖缠绕、摇曳连缀，参差披拂。潭里的鱼大约一百来条，都像在空中游、没有依傍。阳光直照到水底，影子铺在石头上，呆呆地不动；忽然又向远处游去，来往很快，像在和游人一起快乐。向潭的西南望，溪水像北斗那样曲折，像蛇那样游行，一段明一段暗，岸势像狗牙交错，不能知道它的源头。坐在潭上，四面竹树围合，寂静没有人，神骨都觉得凄寒，幽深得让人悄然伤感。因为这里太清冷，不能久留，就记下离开了。同游的是吴武陵、龚古和我的弟弟宗玄，跟着来的两个崔家少年，一个叫恕己，一个叫奉壹。
mashuo	马说	韩愈	世有伯乐|然后有千里马|千里马常有|而伯乐不常有|故虽有名马|祇辱于奴隶人之手|骈死于槽枥之间|不以千里称也|马之千里者|一食或尽粟一石|食马者不知其能千里而食也|是马也|虽有千里之能|食不饱|力不足|才美不外见|且欲与常马等不可得|安求其能千里也|策之不以其道|食之不能尽其材|鸣之而不能通其意|执策而临之|曰|天下无马|呜呼|其真无马邪|其真不知马也	先把伯乐放在千里马前面，后面用喂养和鞭策说明，批评的是识人。	世上先有伯乐，然后才有千里马。千里马常有，伯乐却不常有。所以即使有名马，也只是在马夫手里受辱，和普通马一齐死在马槽边，不被称作千里马。能日行千里的马，一顿有时要吃一石粟，喂马的人不知道它能日行千里，便不按这个标准喂。这马虽然有千里的能耐，却吃不饱，力气不够，才能和好处表现不出来，想和普通马一样尚且做不到，又怎么要求它日行千里呢？驱使它不按正确的方法，喂它又不能让它充分发挥才能，它叫了也不能懂得它的意思，却拿着鞭子对着它说：天下没有马。唉，是真的没有马呢，还是真的不认识马呢？
